index,amount,unit,CO2,CH4,N2O,Tebuconazole,Mercury,Antimony,Water,PM 2.5,PM 2.5-10,PM 10
steel,1,kilogram,1.881678211,7.57E-03,2.79E-05,2.50E+00,4.38365E-07,1.44E-05,5.70E-03,0.001702772,0.002815764,0.00507774
concrete,1,kilogram,0.093367948,6.62E-05,5.03E-07,3.44E-02,1.55284E-05,4.45E-07,1.60E-03,1.06702E-05,1.72597E-05,4.88579E-05
copper,1,kilogram,5.42027041,1.77E-02,7.52E-04,6.32E+02,4.78407E-05,0.010945762,0.271281516,0.018722766,0.033348749,0.040084302
glass fibre reinforced plastic,1,kilogram,7.64527107,3.69E-02,7.40E-04,1.73E+00,3.81918E-07,2.11E-05,2.08E-01,0.001795413,0.001898431,0.002722428
neodymium,1,kilogram,44.192389,1.85E-01,3.16E-03,2.16E+02,1.68425E-05,2.33E-03,7.67E-01,0.028660655,0.028386838,0.068304451
concrete waste treatment,1,kilogram,0.007942301,6.30E-05,2.17E-07,4.48E-03,-4.48804E-10,2.05E-08,1.79E-04,5.51026E-06,2.43616E-06,6.0377E-06
glass waste treatment,1,kilogram,0.004406338,4.83E-05,1.37E-07,1.26E-03,-2.20675E-10,7.55E-09,1.67E-04,3.9949E-06,7.584E-07,1.82972E-06
silicone,1,kilogram,2.662831444,1.38E-02,5.63E-05,2.63E+00,5.12713E-07,2.45E-05,1.17E-01,0.001221566,0.000816584,0.002792397
glass,1,kilogram,4.02707607,1.53E-02,1.31E-04,2.34E+01,2.37658E-06,2.69E-04,3.21E-02,0.003787617,0.001975818,0.006567709
aluminium,1,kilogram,11.66878209,4.69E-02,3.64E-04,7.48E+01,1.01845E-05,2.61E-03,1.30E-01,0.010912773,0.005394064,0.022132706
silver,1,kilogram,416.2959323,1.56E+00,3.28E-02,1.46E+04,0.002364105,7.87E-01,3.85E+00,0.539335697,0.140555899,0.583277028
deionized water,1,kilogram,0.00024449,8.81E-07,1.16E-08,6.21E-04,8.188E-11,9.05E-09,1.04E-03,1.20394E-07,1.00225E-07,2.57861E-07
hard coal,1,kilogram,0.163755143,6.38E-03,1.31E-05,2.16E+00,3.28709E-07,3.69E-07,1.22E-03,0.000140828,7.16568E-05,0.004288442
water,1,kilogram,0.000270803,8.71E-07,9.69E-09,3.85E-04,1.72634E-10,1.74E-09,0.001003149,1.66466E-07,1.68183E-07,4.08035E-07
natural gas,1,kilogram,0.368159759,1.16E-02,7.03E-06,1.05E-01,3.87017E-08,7.18E-07,1.43E-03,0.000106106,7.16943E-05,0.000145788